peroration,结尾演说；总结陈词
tantamount,相当于；等同于
platitude,陈词滥调
mutate,突变；变化
verisimilar,貌似真实的
largesse,慷慨馈赠
talon,（猛禽）爪
river,河流
spectator,观众；旁观者
quack,江湖庸医；骗子
warrant,授权；令状；保证
salutary,有益的；有益身心的
severe,严厉的；严重的
tenable,站得住脚的；可防守的
specious,似是而非的；华而不实的
sunder,分裂；分开
onerous,繁重的；艰巨的
transgress,违背；越轨
sere,干枯的；干旱的
stoic,淡泊的；不以物喜的
roil,搅浑；使烦躁
petrify,石化；把…吓呆
sweltering,闷热难耐的；酷热的
mannered,矫揉造作的；装腔作势的
squall,飑；短时狂风；尖叫
release,释放；发布；发行
surcharge,附加费；向…加收费用
pucker,起皱；皱拢
scoff,嘲笑；嘲弄
poseur,装模作样者；爱摆架子的人
modicum,少量；些许
plenitude,充足；丰富
rite,仪式；礼仪
munificent,慷慨的；大方的
sepulchral,阴沉的；墓穴般的
sabotage,蓄意破坏
tinker,粗修；瞎摆弄
retract,撤回；收回
telling,有力的；显著有效的
vitrify,使玻璃化
unctuous,油腻做作的；谄媚的
voluptuous,感官享乐的；性感的
unproductive,低产的；无效益的
wary,谨慎的；警惕的
tender,温柔的；嫩的；投标
retort,反驳；机智回击
tacit,默认的；不言而喻的
revoke,撤销；废止
mash,捣碎；糊状物
pensive,忧思的；沉思的
ratiocination,推理；演绎
torpor,迟钝；不活跃；冬眠
mnemonics,记忆术
transparent,透明的；易懂的；坦率的
tear,眼泪；撕裂；撕开
unwitting,无意的；不知情的
sage,贤明的；智者
offbeat,不同寻常的；古怪的
precipitation,降水；仓促；沉淀
transitory,短暂的；转瞬即逝的
resilience,弹性；韧性；复原力
mettle,勇气；毅力
recalcitrant,桀骜不驯的；顽抗的
scribble,潦草地写；乱涂
tourniquet,止血带
reel,蹒跚；眩晕；卷轴
somnolence,嗜睡；困倦
puckish,顽皮淘气的
sedate,镇静的；安详的；使镇静
vagary,反复无常；怪诞之举
provincial,狭隘的；地方性的
outmaneuver,以谋略胜过；智取
panegyric,颂词；赞颂
spindly,细长瘦弱的
siren,塞壬；警报器；妖娆女子
pristine,原始纯净的；未受损的
nepotism,裙带关系
reconnoiter,侦察；踏勘
vivacious,活泼的；生气勃勃的
stygian,阴暗的；地狱般的
strength,力量；强项
meager,贫乏的；瘦弱的
runic,如尼文的；神秘的
metric,公制的；度量的
migratory,迁徙的
metamorphose,使变形；使质变
misanthrope,厌世者；愤世嫉俗者
predestine,预先注定
loath,不情愿的；勉强的
quotidian,日常的；平凡的
unrequited,得不到回应的；无回报的
traverse,横穿；穿越
molt,蜕皮；换羽
prudent,谨慎的；精明的
vex,使恼火；使苦恼
sturdy,结实的；强健的
phlegmatic,冷淡的；迟钝的
victimize,使受害；不公正地对待
stoke,煽动；添燃料
salmon,三文鱼；鲑鱼
notch,等级；刻痕；在…上刻痕
oration,正式演说；致辞
simulate,模拟；假装
nil,零；无
piebald,花斑的；杂色的
purvey,供给；供应
rouse,唤起；激起；使醒来
sham,虚假；冒充；伪装的
spelunker,洞穴探险者
suture,缝合；缝线
motley,杂色的；混杂多样的
misgiving,疑虑；不安
pique,激怒；激起（兴趣）
uphold,支持；维护
procure,设法获得；采购
replete,充满的；装满的
precipitous,陡峭的；鲁莽的
patriot,爱国者
sanctify,使神圣；正当化
querulous,爱发牢骚的
rubicund,红润的
minutia,细枝末节；细节
snarl,龇牙咆哮；纠缠打结
votary,信徒；热心拥护者
wag,摇动；诙谐者
stint,节省；定额；一段任职期
meliorism,改良主义（相信人类可改进）
wax,增长；渐强；蜡
scintillate,闪烁；才思飞扬
raconteur,善于讲轶事的人
sermon,布道；说教
pebble,卵石
seemly,得体的；合宜的
pine,渴望；憔悴
minion,宠臣；走狗
jabber,急促而含混地说
snare,陷阱；诱捕
tangy,辛辣刺激的
retrench,紧缩；节省开支
retinue,随从；扈从
podiatrist,足病医生
recessive,隐性的；退隐的
penchant,嗜好；偏好
subservient,卑躬屈膝的；从属的
pandemonium,喧嚣；大混乱
peripheral,边缘的；次要的
posit,断定；假设
lissome,柔软灵活的
slur,含糊地说；诋毁；污点
masquerade,化装；伪装；化装舞会
verdant,青翠的；稚嫩缺乏经验的
sycophant,马屁精；谄媚者
symphony,交响曲
teetotalism,禁酒主义
shoal,鱼群；浅滩
reprove,责备；指摘
levity,轻浮；轻率
scrap,碎片；废料；丢弃；打架
varnish,清漆；给…上清漆；粉饰
rehabilitate,使康复；使恢复名誉
underdog,弱者；处于劣势的一方
variance,差异；方差；不一致
mournful,悲哀的；凄惨的
pollster,民意调查员
valediction,告别；告别辞
wanderlust,旅行癖；漫游欲
smug,自鸣得意的；自满的
synopsis,梗概；提要
primordial,原始的；根本的
opportune,适时的；合时宜的
tamper,篡改；干预
ream,大量；扩孔；令（纸）
lucid,清楚易懂的；神志清醒的
sanction,制裁；批准；许可
vehement,激烈的；强烈的
libretto,歌剧（舞剧）脚本
mediate,调解；斡旋
scalpel,手术刀
oblique,倾斜的；间接的；斜肌
ostentatious,炫耀的；铺张的
parse,解析（语法/句法）
satirize,讽刺；挖苦
palmy,繁荣的；兴盛的
meddle,干涉；多管闲事
preternatural,超自然的；异常的
stitch,一针；缝合；（笑得）肋痛
provoke,激怒；挑起
milk,榨取；挤奶
stabilize,（使）稳定
tint,着色；色调
understate,轻描淡写；保守陈述
tong,夹钳；（旧时）华人会党
piquant,辛辣开胃的；有趣辛辣的
tugboat,拖船
transient,短暂的；转瞬即逝的；过客
sonnet,十四行诗
jovial,愉快的；和蔼的
spartan,简朴刻苦的；斯巴达式的
limp,软弱无力的；跛行
tenuous,稀薄的；站不住脚的
sophistication,老练；复杂精密
resonant,洪亮的；回响的
lexicographer,词典编纂者
residue,残余；剩余
wobble,摇晃；动摇
regress,倒退；回归
lash,鞭打；抨击；睫毛
solvent,有偿付能力的；溶剂
kudos,荣誉；赞誉
sinuous,蜿蜒的；婀娜的
satiate,使饱足；充分满足
protean,多变的；千变万化的
procrastinate,拖延；耽搁
laudatory,赞美的；褒扬的
peck,啄；轻吻；小口吃
sneer,冷笑；嘲讽
levee,堤坝；（美）招待会
vindictive,报复心强的
raffle,抽奖；义卖抽彩
pithy,简练有力的
rumple,弄皱；弄乱
abasement,屈辱；贬低
sullen,阴沉的；郁郁不乐的
troupe,剧团；演出队
wane,衰退；减弱；（月）缺
understudy,替角；做…的替角
moth,蛾
recant,公开放弃（信仰/主张）
protrude,突出；伸出
sculpt,雕刻
sublime,崇高的；宏伟的
plutocracy,富豪统治；财阀政治
submissive,顺从的；唯命是从的
outset,开端；开始
lambaste,猛烈抨击；痛打
prosecution,起诉；检方
nefarious,极其邪恶的
slipshod,马虎草率的
murmur,小声抱怨；低语
pirate,盗版；剽窃；海盗
proclivity,倾向；癖好
veneer,薄饰；虚饰；饰面
moribund,濒临死亡的；行将结束的
surfeit,过量；使过量
malodor,恶臭
reconvene,重新召开；再聚集
stomach,胃；容忍；食欲
painstaking,辛勤的；煞费苦心的
nudge,轻推；悄悄劝导
maven,内行；行家
ravel,使纠缠；解开（线团）
sparse,稀疏的；贫乏的
remodel,改造；改建
smirk,假笑；傻笑
resplendent,华丽耀眼的
obviate,排除；使不必要
jibe,嘲讽；与…一致
moratorium,暂停；延期
jot,少量；草草记下
pastiche,拼凑作品；模仿作品
vaunt,自夸；吹嘘
outlandish,古怪离奇的
leaven,使发酵；使生动有趣
repartee,机敏诙谐的对答
parlance,说法；术语
labyrinth,迷宫；曲折复杂
sensitive,敏感的；灵敏的
rodent,啮齿动物
petroglyph,岩画；岩刻
minuscule,极小的；小写字母的
nexus,联系；纽带
responsive,反应灵敏的；快速响应的
ruminate,沉思；反刍
taunt,嘲弄；奚落
sinew,肌腱；力量；活力
lull,使平静；暂时平静
swing,摇摆；转变
slew,大量；成批
temperate,温和的；适度的；克制的
stickler,坚持细节的人；吹毛求疵者
sidestep,回避；避让
lachrymose,爱哭的；催人泪下的
rabble,乌合之众；民众
soliloquy,独白
miser,吝啬鬼
plummet,骤降；直线下落
mordant,尖刻辛辣的
merited,应得的；当之无愧的
placate,安抚；抚慰
parry,招架；回避
sanitation,卫生设施；环境卫生
royalty,王室；版税
supercilious,高傲的；目中无人的
verify,核实；验证
subject,主题；对象；易受…影响的
restive,不安分的；倔强难驾驭的
neologism,新词；新语
taxonomy,分类学；分类体系
underscore,强调；下划线
methodical,有条理的；有系统的
rationalize,使合理化；找借口
pluck,勇气；毅力；拔
plight,困境；苦境
prestige,威望；声望
turret,塔楼；炮塔
unexceptionable,无可指摘的；无懈可击的
lassitude,疲乏；倦怠
knit,编织；编结；使紧密
plunge,投入；骤降；使陷入
seminal,开创性的；影响深远的
jape,玩笑；戏弄
truncate,截短；删节
withdraw,撤回；提款；退出
prune,修剪；删去
skit,讽刺短剧；小品
stench,恶臭
posture,姿态；立场；摆姿势
media,媒体；传播媒介
puny,弱小的；微不足道的
preempt,抢占；先发制人地取代
somatic,躯体的；肉体的
repeal,废除；撤销
preach,布道；说教
plethora,过多；过剩
prospect,前景；可能性；勘探
mite,极少量；小虫；小孩
recumbent,斜倚的；休息的
talisman,护符；法宝
miscreant,恶棍；不法之徒
ramshackle,摇摇欲坠的；东倒西歪的
topsy-turvy,乱七八糟的；颠倒的
nurture,养育；培育
pertinent,相关的；切题的
repatriate,遣返；把…送回国
nibble,小口咬；蚕食
succor,救助；援助
plateau,高原；停滞期
pen,钢笔；圈（牲畜）；写
larder,食品贮藏室
rift,裂缝；裂痕；不和
scrutinize,细察；审阅
philistine,庸俗之人；市侩
parch,烘干；晒干；使枯焦
tactile,触觉的；可触知的
proscribe,正式禁止；剥夺…公权
ticklish,棘手的；怕痒的
quiescent,静止的；休眠的
potable,可饮用的
tarnish,失去光泽；玷污
stratify,分层；使阶层化
suffocate,使窒息；遏制
ostracize,放逐；排斥
subliminal,潜意识的；阈下的
politic,明智圆滑的；策略性的
psychiatrist,精神科医生
vague,含糊的；不明确的
warmonger,好战分子；战争贩子
rapacious,贪婪成性的；掠夺的
opprobrious,辱骂的；可耻的
winsome,迷人的；惹人喜爱的
loquacious,健谈的；话多的
nondescript,无明显特征的；平凡的
turmoil,动荡；骚乱
redoubtable,令人敬畏的；难对付的
sanguine,乐观的；自信的
lariat,套索
squalid,肮脏的；卑劣的
rampart,城墙；防御壁垒
predilection,偏爱；嗜好
presumptuous,放肆的；冒昧的
paean,赞歌；颂赞
rivet,铆钉；吸引注意力
scuff,磨损；拖着脚走
lacerate,割裂；伤害（感情）
renovate,翻新；修缮
pancreas,胰腺
rankle,使人怨恨；使刺痛
secluded,僻静的；隐居的
measured,有分寸的；慎重的
script,剧本；脚本；手写体
petition,请愿；请愿书
scorn,鄙视；不屑
maculate,玷污；弄脏
profusion,大量；丰富
torque,扭矩
spiny,多刺的；棘手的
pittance,微薄的薪俸；少量
patent,明显的；专利
licentious,放荡的；淫乱的
scurvy,坏血病；卑鄙的
reprieve,缓刑；暂缓
practitioner,从业者；实务工作者
nonchalant,冷淡的；满不在乎的
saturnine,阴郁的；沉默寡言的
susceptibility,易感性；感受性
stipulate,规定；明确要求
schism,分裂；宗派之争
rehearsal,排练；彩排
pack,打包；塞满；群
reassure,使安心；打消疑虑
rapprochement,和解；关系缓和
savory,咸味的；可口的；体面的
windy,多风的；空洞冗长的
mangle,严重损坏；撕裂
malicious,恶意的；怀恨的
lugubrious,过分悲伤的；阴郁的
officious,多管闲事的；爱指手画脚的
pleat,褶；打褶
lethargic,昏昏欲睡的；无精打采的
promulgate,颁布；宣传
respire,呼吸
levelheaded,头脑冷静的；稳健的
shadow,阴影；跟踪；掩蔽
puerile,幼稚的；稚嫩的
vignette,小插图；短文
renounce,宣布放弃；摒弃
surreptitious,鬼鬼祟祟的；秘密的
scurrilous,粗鄙下流的；诽谤的
stunt,特技；噱头；妨碍生长
patronize,光顾；屈尊俯就地对待
tadpole,蝌蚪
rabid,狂热的；患狂犬病的
provident,节俭的；有远见而为未来做准备的
solace,安慰；慰藉
scooter,轻便摩托车；滑板车
obstinate,顽固的；倔强的
sate,使饱足；使厌腻
trudge,蹒跚而行；吃力地走
ramble,漫步；漫谈
peccadillo,小过失；小瑕疵
vitality,活力；生命力
solder,焊接
nugatory,无价值的；无效的
protocol,协议；礼仪
overture,序曲；提议
recoil,退缩；后坐；畏缩
reap,收割；获得
stentorian,声音洪亮的
ode,颂歌
sidereal,恒星的
parody,拙劣的模仿；恶搞作品
relevant,相关的；切题的
paranoia,偏执狂；多疑
requisite,必需的；必需品
subsidiary,次要的；辅助的
synthesis,合成；综合
steadfast,坚定的；不动摇的
unassailable,不可动摇的；无懈可击的
preeminent,杰出的；卓越的
oracle,神谕；预言者
stricture,责难；限制
medley,混合体；大杂烩
patina,铜绿；（事物的）神韵
nuance,细微差别
rein,缰绳；控制
tangent,切线；离题（话题）
odium,厌恶；憎恶；恶名
offhand,漫不经心的；即席的
riveting,引人入胜的
ruffle,弄皱；扰乱
pedant,学究；迂腐之人
rash,轻率的；鲁莽的
trumpet,小号；大声宣扬
xenophobe,仇外者
scabbard,（刀剑）鞘
resuscitate,使复苏；使复活
vulnerable,脆弱的；易受攻击的
syllogism,三段论
vigilant,警惕的；警觉的
meet,合适的；恰当的
vendor,小贩；供应商
stammer,口吃；结巴
subpoena,传票；传唤
relapse,复发；故态复萌
oust,罢黜；驱逐
scythe,镰刀
sordid,肮脏的；卑鄙的
rivulet,小溪；细流
scrappy,杂乱无章的；好斗的
quarantine,隔离；检疫
reconcile,使和解；调和
lumen,流明；（体腔器官）内腔
subvert,颠覆；破坏
veracious,诚实的；真实的
superfluous,多余的；过剩的
unflappable,沉着不慌的
spendthrift,挥霍者；挥金如土的
philatelist,集邮者
repress,抑制；镇压
peripatetic,巡回的；流动的
lurk,潜伏；埋伏
tout,兜售；吹捧
panel,面板；专家小组
shred,碎片；撕碎
pilfer,小偷小摸
pallid,苍白的；乏味的
minatory,威吓的；带有威胁的
shipshape,整齐有序的
precarious,不稳的；危险的
quota,配额；限额
revenge,报复
paramount,至高无上的；最重要的
scion,（嫩）枝；后代；贵族子弟
safeguard,保护；保全
misconstrue,误解；曲解
proffer,提供；递上
tatty,破旧的；邋遢的
score,得分；大量；刻痕
pantry,食品储藏室
threadbare,磨薄的；陈腐的
pervade,弥漫；遍及
usury,高利贷
quench,熄灭；解（渴）；（金属）淬火
tractable,温顺的；易管教的
unkempt,不整洁的；蓬乱的
monologue,独白
pundit,权威；专家
salvage,打捞；抢救
splice,拼接；接合
sawdust,锯末
ponderous,笨重的；沉闷乏味的
stencil,模板；用模板印
strip,剥去；条状物
subsidy,补贴
tyro,新手
stratagem,计谋；策略
truce,停战；休战
tasty,美味的；可口的
pretense,借口；虚伪；假装
superimpose,叠加；加在…之上
pillory,示众羞辱；枷锁
tedious,冗长乏味的
verbatim,逐字逐句的
quaver,颤抖；发颤音
stouthearted,勇敢的；刚毅的
rebuff,断然拒绝；冷落
mesh,网眼；啮合；使缠住
resign,辞职；屈从
marvel,惊叹；奇迹
ponderable,可衡量的；可考虑的
lumber,木材；缓慢笨拙地移动
peer,凝视；同等的人
riot,暴乱；五彩缤纷
uncouth,粗鲁的；粗俗的
parsimony,吝啬；过度节省
nocturnal,夜间的
verbose,冗长啰嗦的
virtuoso,行家；艺术名家
undergird,加强基础；从下支撑
precursor,先驱；前体
mangy,肮脏的；疥癣的
polemic,争论；论战；抨击性文章
turgid,浮夸的；肿胀的
skeleton,骨架；框架；梗概
toady,马屁精；拍马者
refine,精炼；改进
quaff,痛饮；畅饮
spire,尖顶；螺旋
wizen,枯槁；（使）干瘪
supplement,补充；增刊
revise,修订；复习
welter,杂乱无章；打滚；混战
stringent,严格的；紧缩的
surrender,投降；交出
pontificate,装腔作势地说教；武断地发表意见
jaded,厌倦的；疲惫不堪的
sober,清醒的；严肃的；朴素的
lackluster,无光泽的；乏味的
verse,诗歌；诗句
unwonted,罕见的；不寻常的
pertinacious,坚持不懈的；顽固的
negligence,疏忽；过失
sapient,睿智的
run,奔跑；运营
lullaby,摇篮曲
waylay,伏击；拦截
obeisance,鞠躬；敬礼；尊敬
saddle,鞍；使承担负担
recidivism,累犯；再犯
sound,声音；健全的
maelstrom,大漩涡；混乱
languish,衰弱；受煎熬
religion,宗教；信仰
preposterous,荒谬的；反常的
stylus,笔尖；触笔
salve,药膏；安慰；缓和
scowl,皱眉；怒容
snobbish,势利眼的
vindicate,证明…无辜（或正确）；辩护
volatile,多变的；挥发性的；不稳定的
terror,恐惧；恐怖活动
typo,打字错误
nascent,初生的；新兴的
mimicry,模仿；拟态
obituary,讣告
legion,军团；众多
zealot,狂热分子
viscous,黏性的
probe,探针；探查
probity,正直；廉洁
purity,纯净；纯洁
turpitude,卑鄙；邪恶
spent,用尽的；精疲力竭的；（燃料）乏的
tendentious,有倾向性的；带偏见的
miff,激怒；小恼
tranquility,宁静；平静
rider,骑手；附加条款
retrograde,倒退的；逆行的；倒退
school,学校；流派；鱼群
mire,泥潭；使陷入困境
porous,多孔的；渗透的
noxious,有害的；有毒的
whet,磨快；刺激（兴趣）
slippery,滑的；狡猾的；不稳定的
treasurer,财务主管；司库
topsy-turvy,颠三倒四的；乱七八糟的
reproof,责备；谴责
sin,罪过；犯罪
shiftless,懒惰的；无能的
seduce,诱惑；勾引
limousine,豪华轿车
simper,傻笑；假笑
shirk,逃避；推卸
substantive,实质性的；独立存在的
tonic,滋补品；令人精神振奋的
raffish,不名誉的；俗艳的；潇洒不羁的
secrete,分泌；藏匿
subterfuge,托词；遁词；诡计
stingy,吝啬的；小气的
scissors,剪刀
rife,普遍的；充斥的
mundane,世俗的；平凡的
pun,双关语
trickle,细流；滴下；零星流动
palette,调色板；色彩范围
prowl,潜行；徘徊觅食
stamina,体力；耐力
waddle,摇摇摆摆地走
seine,围网；拖网
simpleton,笨蛋；傻瓜
prodigious,巨大的；惊人的
reiterate,反复说；重申
remorse,悔恨；自责
particularize,具体说明；详述
mottle,使斑驳；斑点
ration,定量配给；定量
paradigm,典范；范式
quibble,吹毛求疵；诡辩；遁词
rail,栏杆；严厉指责
mollycoddle,溺爱；娇惯
jaunty,洋洋得意的；活泼轻快的
remonstrance,抗议；谏言
serried,密集的
worldly,世故的；尘世的；物质的
restless,焦躁不安的
reign,统治；盛行
rambunctious,喧闹的；难以控制的
jejune,幼稚的；枯燥乏味的
understated,低调的；轻描淡写的
pinnacle,顶点；顶峰
rickety,摇摇欲坠的；不稳固的
terminus,终点；终点站
testy,易怒的；暴躁的
sluggard,懒鬼
misrepresent,歪曲；误述
virulent,剧毒的；恶毒的
prostrate,俯卧的；无力的；使屈服
relish,享受；津津有味；风味佐料
resolute,坚决的；果断的
shackle,镣铐；束缚
shale,页岩
provisory,临时的；有条件的
puissant,强有力的；强盛的
swear,发誓；咒骂
stealth,秘密行动；隐身技术
quandary,困境；窘境
stride,大步走；进展
muddy,泥泞的；含糊的；使混淆
propitious,吉利的；有利的
nebulous,模糊的；朦胧的
stiff,僵硬的；艰难的；昂贵的
spur,刺激；马刺；鞭策
supposition,假定；推测
steep,陡峭的；价格过高的；浸泡
opine,发表意见；认为
obloquy,公开谴责；辱骂
turbid,浑浊的；混乱的
vulgar,庸俗的；粗俗的
philanthropic,慈善的；博爱的
lopsided,不平衡的；倾斜的
tawdry,俗丽的；低劣的
tarpaulin,防水布；油布
pliant,柔顺的；易受影响的
perspicacious,有洞察力的；敏锐的
withhold,扣留；拒绝给予
self,自我；自身
torrential,倾盆的；急流般的
soporific,催眠的；令人昏昏欲睡的
unruly,难管束的；无法无天的
parity,平等；相称
latitude,纬度；（思想/行动）自由度
venerate,崇敬；敬重
shun,避开；回避
strident,刺耳的；强硬咄咄逼人的
pessimism,悲观主义；悲观情绪
syllable,音节
lampoon,讽刺文章；讽刺
therapeutic,治疗的；有益身心的
timeworn,陈旧的；老套的
obtuse,迟钝的；钝角的
mime,哑剧；模仿表演
nip,夹；掐；一小口（酒）；寒霜
noisome,恶臭的；令人厌恶的；有害的
muffle,压低（声音）；裹住
primp,精心打扮
proponent,支持者；倡导者
tightfisted,吝啬的；抠门的
limpid,清澈透明的；清晰易懂的
scant,不足的；缺乏的
protuberant,突出的；鼓起的
