bravado,虚张声势
avulse,撕脱；扯离
clement,仁慈的；（气候）温和的
comity,礼让；友好
amicable,友好的，和平的
caprice,反复无常；突发奇想
arimonious,讽刺的；尖刻的（注：词形常见作 acrimonious）
broach,提出（敏感话题）；开（酒桶）
barter,以物易物；交换
bolster,支持；增强
brisk,轻快的；兴旺的；清新的
ballad,民谣；歌谣
concerted,齐心协力的；一致的
burnish,打磨；抛光；改进（名声）
bruit,传播（消息）
backhanded,间接的；含沙射影的；反手的
amalgamate,合并；混合
cipher,密码；无足轻重的人
ardor,热情；激情
apprehension,忧虑；理解；逮捕
berate,严厉指责；痛斥
agonize,感到极度痛苦；苦苦思索
apprise,通知；告知
abstain,戒除；弃权
brazen,厚颜无耻的；公然的
blatant,显眼的；公然的
blemish,污点；瑕疵
antic,滑稽可笑的；古怪的行为
apocryphal,伪造的；可疑的
blast,一阵风；爆炸；抨击
chary,谨慎小心的
acerbic,尖刻的；酸涩的
beleaguer,围攻；困扰
abridge,缩短；删节
amity,友好，和睦
callow,稚嫩的；幼稚的
compendium,简编；概要
cadge,乞讨；白拿
apothecary,药剂师
caret,脱字符（^）；插入符号
chiaroscuro,明暗对比法
bungle,笨拙地做；搞砸
commotion,骚动；喧闹
coltish,爱嬉闹的；不受拘束的
apparel,服装；给…穿衣
castigate,严厉斥责
banister,楼梯扶手
affable,和蔼的，友善的
allegiance,忠诚；拥护
apron,围裙；台口（戏剧）
concur,同意；同时发生
caveat,警告；告诫
astringent,收敛的；严厉的
ballast,压舱物；稳定力量
alchemy,炼金术；神秘变化（比喻）
churl,粗鲁之人；吝啬鬼
amble,漫步，缓行
badger,不断纠缠；烦扰
apothasis,否定陈述法
bridle,抑制；缰绳；约束
animus,敌意；憎恨
anthology,选集
clout,影响力；猛击
apt,恰当的；聪明的；有…倾向的
coax,哄劝；劝诱
adventitious,偶然的；外来的
accede,同意；就任（职位）
alacrity,敏捷；欣然同意
candor,坦率；直言不讳
besmirch,玷污；诽谤
commencement,开始；毕业典礼
browbeat,威吓；恫吓
censorious,吹毛求疵的；苛评的
accolade,荣誉；赞扬
carve,雕刻；切割；争取赢得
astute,机敏的；精明的
agog,兴奋的；急切想要的
commodious,宽敞舒适的
adulterate,掺假；掺入劣质成分
carouse,痛饮作乐
buffoon,小丑；滑稽可笑的人
caricature,漫画式夸张；讽刺画
colander,滤器；笊篱
aseptic,无菌的；防腐的
amiable,和蔼可亲的，友善的
budge,让步；改变立场；挪动
bland,乏味的；温和的
bedeck,装饰；点缀
amenable,顺从的，服从的；有责任的
allude,暗指，影射
ascetic,禁欲的；苦行的
condone,宽恕；纵容
balky,倔强的；不合作的
aphorism,格言；警句
brittle,脆弱的；易碎的；（关系）脆弱的
bumptious,自以为是的；傲慢的
awning,遮阳篷；雨篷
cogent,有说服力的；令人信服的
barren,贫瘠的；不结果实的
canvass,游说；详细讨论；拉选票
adjourn,休会；延期
calumniate,诽谤；中伤
boon,恩惠；福利；好处
antagonize,使对抗；激怒
attenuate,使减弱；变薄
ameliorate,改善，改进
clarion,嘹亮的；号角声
bane,祸根；灾星
blithe,无忧无虑的；漫不经心的
condole,吊唁；表示同情
argot,行话；黑话
complaisance,殷勤；顺从
advert,注意；提及
adore,崇拜；喜爱
affidavit,宣誓书
abdicate,退位；放弃（权力/责任）
cement,巩固；水泥
cineast,电影爱好者；电影艺术家
chorus,合唱；随声附和
coalesce,合并；融合
blunt,迟钝的；直率的；使迟钝
cavort,欢跃；雀跃
concede,承认；让步
addendum,补遗；附录
choleric,易怒的
abysmal,极坏的；极深的
anathema,极讨厌的人或事；诅咒
burlesque,讽刺滑稽表演；讽刺模仿
collude,串通；勾结
avid,渴望的；热切的
abscission,切除；脱落
ancillary,辅助的；补充的
aspirant,有抱负者；志士
chagrin,懊恼；委屈
commingle,混合；掺和
atrocious,残暴的；极坏的
acrid,辛辣的；刻薄的
approbation,赞许；认可
amenity,舒适；便利设施；礼节
breach,违背；破裂；突破口
awe,敬畏；惊惧
chase,追逐；在金属上雕刻
coagulant,凝血剂；凝固剂
airtight,密封的；无懈可击的
commend,称赞；推荐
annals,编年史；历史记载
compliant,顺从的
adumberate,预示；概述（注：词形常见作 adumbrate）
clasp,扣子；紧握；扣住
anesthetic,麻醉的；麻醉剂
cameo,小配角；浮雕刻像
allure,吸引；诱惑
abject,悲惨的；卑微的；绝望的
bale,灾祸；不幸
belie,掩饰；证明为假
bombast,夸大的言辞
asunder,分离的；化为碎片的
assiduous,勤奋的；刻苦的
compunction,内疚；良心不安
analgesic,止痛的；止痛药
apostrophe,撇号；呼语
abstruse,深奥的，难解的
balm,安慰物；香膏
bromide,陈词滥调
beseech,恳求；乞求
boisterous,喧闹的；活跃的
cherubic,天使般的（胖乎乎、纯真的）
cloying,甜得发腻的；令人腻烦的
baseboard,踢脚板；墙脚板
abominate,痛恨，厌恶
blight,枯萎；破坏因素
accost,搭讪；上前与人攀谈
clique,小团体；小圈子
babble,含糊不清地说；喋喋不休
alienate,疏远；转让（财产）
alibi,不在场证明；托辞
cloture,终止辩论表决程序
cavil,吹毛求疵
admonish,警告；劝诫
abrogate,废除，取消（法律、协议）
