deference,n,"obeisance (n); homage (n)","尊重；顺从"
deprecate,v,"denigrate (v); downplay (v)","反对；贬低"
desiccate,v,"dry (v); dehydrate (v)","使干燥；脱水"
desultory,adj,"aimless (adj); discursive (adj)","漫无目的的；散漫的"
diatribe,n,"tirade (n); harangue (n); rant (n)","长篇抨击"
dilatory,adj,"tardy (adj); procrastinate (v)","拖拉的；慢的"
dilettante,n,"amateur (n); neophyte (n)","业余爱好者（含贬）"
disabuse,v,"debunk (v); enlighten (v)","使醒悟；纠正错误观念"
dissemble,v,"feign (v); pretend (v)","掩饰；假装"
disseminate,v,"propagate (v); diffuse (v)","传播；散布"
distend,v,"expand (v); swell (v)","膨胀；扩张"
dormant,adj,"quiescent (adj); torpid (adj)","休眠的"
dupe,n/v,"hoodwink (v); hoax (v)","受骗者；欺骗"
ebullient,adj,"exuberant (adj); fervid (adj)","热情洋溢的"
effrontery,n,"impudent (adj)","厚颜无耻"
elicit,v,"evoke (v); draw out (v)","引出；诱出"
embroider,v,"embellish (v); exaggerate (v)","刺绣；渲染"
emulate,v,"imitate (v); rival (v)","效仿；同…竞争"
endemic,adj,"native (adj); local (adj)","地方性的"
enervate,v,"debilitate (v); sap (v)","使衰弱"
engender,v,"generate (v); produce (v)","引发；产生"
ephemeral,adj,"transient (adj); transitory (adj)","短暂的；转瞬即逝的"
equivocate,v,"prevaricate (v)","含糊其辞"
esoteric,adj,"abstruse (adj); recondite (adj)","深奥的；秘传的"
exacerbate,v,"aggravate (v); worsen (v)","恶化；加剧"
exculpate,v,"exonerate (v); absolve (v)","开脱；使无罪"
exonerate,v,"absolve (v); exculpate (v)","使无罪；免除责任"
facetious,adj,"jocular (adj); playful (adj)","开玩笑的；滑稽的"
fallacy,n,"sophism (n); misconception (n)","谬误；谬论"
fatuous,adj,"inane (adj); foolish (adj)","愚蠢的；愚昧的"
fawn,v,"flatter (v); adulate (v); toady (n)","奉承；小鹿"
fervid,adj,"ardent (adj); perfervid (adj)","热烈的；热情的"
florid,adj,"baroque (adj); flamboyant (adj)","华丽的；红润的"
foment,v,"instigate (v); provoke (v)","煽动；挑起"
frugal,adj,"provident (adj); economical (adj)","节俭的；节约的"
gainsay,v,"deny (v); contradict (v)","否认；反驳"
garrulous,adj,"loquacious (adj); verbose (adj)","话多的；饶舌的"
gregarious,adj,"sociable (adj); outgoing (adj)","群居的；爱交际的"
guile,n,"cunning (adj/n); chicanery (n)","狡诈；诡计"
harangue,n/v,"tirade (n); rant (n/v)","长篇演说；训斥"
iconoclast,n,"heretical (adj)","偶像破坏者；反传统者"
imperturbable,adj,"unflappable (adj); calm (adj)","冷静的；沉着的"
impervious,adj,"unaffected (adj); immune (adj)","不透的；不受影响的"
implacable,adj,"inexorable (adj); unyielding (adj)","不宽容的；无情的"
imadvertent,adj,"unintentional (adj); accidental (adj)","无意的；不小心的"
inchoate,adj,"nascent (adj); incipient (adj)","初期的；未形成的"
inconsequential,adj,"trivial (adj); immaterial (adj)","不重要的；无关紧要的"
indolent,adj,"slothful (adj); lazy (adj)","懒惰的；怠惰的"
ineffable,adj,"inexpressible (adj); indescribable (adj)","不可言喻的；难以形容的"
inimical,adj,"hostile (adj); adverse (adj)","敌对的；有害的"
innocuous,adj,"harmless (adj); inoffensive (adj)","无害的；无毒的"
insipid,adj,"bland (adj); vapid (adj)","乏味的；平淡的"
insular,adj,"provincial (adj); narrow-minded (adj)","孤立的；狭隘的"
intransigent,adj,"obdurate (adj); uncompromising (adj)","不妥协的；顽固的"
inundate,v,"flood (v); deluge (v)","淹没；使充满"
irascible,adj,"choleric (adj); testy (adj)","易怒的；暴躁的"
laconic,adj,"terse (adj); succinct (adj)","简洁的；言简意赅的"
lassitude,n,"languor (n); torpor (n)","疲乏；倦怠"
lethargic,adj,"sluggish (adj); torpid (adj)","昏昏欲睡的；无精打采的"
loquacious,adj,"garrulous (adj); voluble (adj)","健谈的；话多的"
lucid,adj,"pellucid (adj); limpid (adj)","清楚易懂的；神志清醒的"
malleable,adj,"pliant (adj); limber (adj)","可塑的；易受影响的"
mendacious,adj,"fraudulent (adj); deceitful (adj)","撒谎的；虚假的"
misanthrope,n,"cynic (n); recluse (n)","厌世者；愤世嫉俗者"
mollify,v,"placate (v); soothe (v)","缓和；安抚"
morose,adj,"sullen (adj); gloomy (adj)","忧郁的；阴沉的"
neophyte,n,"novice (n); tyro (n); rookie (n)","新手；新入教者"
obdurate,adj,"intransigent (adj); obstinate (adj)","顽固不化的；冷酷的"
obsequious,adj,"sycophant (n); servile (adj)","谄媚的；奉承的"
obviate,v,"preclude (v); forestall (v)","排除；使不必要"
onerous,adj,"taxing (adj); arduous (adj)","繁重的；艰巨的"
opaque,adj,"murky (adj); obscure (adj)","不透明的；难懂的"
opprobrious,adj,"scurrilous (adj); abusive (adj)","辱骂的；可耻的"
ostentatious,adj,"flamboyant (adj); theatrical (adj)","炫耀的；铺张的"
paragon,n,"paradigm (n); exemplar (n)","典范；完人"
partisan,adj/n,"biased (adj); sectarian (adj)","偏袒的；党派的追随者"
paucity,n,"deficiency (n); lack (n)","缺乏；不足"
perfidy,n,"treachery (n); betrayal (n)","背信弃义；背叛"
perfunctory,adj,"cursory (adj); slipshod (adj)","敷衍的；草率的"
peripheral,adj,"marginal (adj); secondary (adj)","边缘的；次要的"
pernicious,adj,"deleterious (adj); noxious (adj)","有害的；恶性的"
perspicacious,adj,"astute (adj); shrewd (adj)","有洞察力的；敏锐的"
peruse,v,"scrutinize (v); read carefully (v)","细读；精读"
pervade,v,"suffuse (v)","弥漫；遍及"
phlegmatic,adj,"stolid (adj); impassive (adj)","冷淡的；迟钝的"
pliant,adj,"supple (adj); flexible (adj)","柔顺的；易受影响的"
plethora,n,"superfluity (n); excess (n)","过多；过剩"
precarious,adj,"insecure (adj); unstable (adj)","不稳的；危险的"
precipitate,adj/v,"rash (adj); hasten (v)","使突然发生；仓促的；沉淀物"
precursor,n,"harbinger (n); forerunner (n)","先驱；前体"
presumptuous,adj,"overbearing (adj); audacious (adj)","放肆的；冒昧的"
prevaricate,v,"equivocate (v); quibble (v)","搪塞；闪烁其词"
probity,n,"integrity (n); honesty (n)","正直；廉洁"
prodigal,adj/n,"lavish (adj); spendthrift (n)","挥霍的；浪费的；浪子"
proliferate,v,"multiply (v); mushroom (v)","激增；迅速扩散"
propitiate,v,"placate (v); mollify (v)","安抚；取悦"
propriety,n,"decorum (n); etiquette (n)","得体；礼节；适当"
prudent,adj,"judicious (adj); cautious (adj)","谨慎的；精明的"
punctilious,adj,"fastidious (adj); meticulous (adj)","一丝不苟的；谨小慎微的"
quiescent,adj,"dormant (adj); inactive (adj)","静止的；休眠的"
rarefy,v,"attenuate (v); refine (v)","使稀薄；精炼"
recalcitrant,adj,"obstreperous (adj); defiant (adj)","桀骜不驯的；顽抗的"
reconcile,v,"harmonize (v); conciliate (v)","使和解；调和"
refute,v,"rebut (v); confute (v)","反驳；驳倒"
reprobate,n/adj,"rapscallion (n); degenerate (adj)","堕落之徒；堕落的"
repudiate,v,"renounce (v); disavow (v)","否认；拒绝接受"
rescind,v,"revoke (v); repeal (v)","撤销；废除"
reticent,adj,"taciturn (adj); reserved (adj)","沉默寡言的；守口如瓶的"
revere,v,"venerate (v); respect (v)","尊崇；敬畏"
salubrious,adj,"healthy (adj); wholesome (adj)","有益健康的"
sanction,n/v,"approve (v); authorize (v)","制裁；批准；许可"
satiate,v,"sate (v)","使饱足；充分满足"
saturate,v,"soak (v); drench (v)","使饱和；浸透"
sedentary,adj,"inactive (adj); seated (adj)","久坐的；定居的"
skeptic,n,"doubter (n); cynic (n)","怀疑论者；怀疑者"
solicitous,adj,"concerned (adj); attentive (adj)","关切的；挂念的"
soporific,adj/n,"sedative (n/adj); sleep-inducing (adj)","催眠的；令人昏昏欲睡的"
specious,adj,"spurious (adj); plausible-but-false (adj)","似是而非的；华而不实的"
sporadic,adj,"occasional (adj); intermittent (adj)","零星的；偶发的"
spurious,adj,"specious (adj); bogus (adj)","伪造的；站不住脚的"
stigma,n,"taint (n); disgrace (n)","污名；耻辱；柱头（植）"
stint,v/n,"skimp (v); restrict (v)","节省；定额；一段任职期"
stipulate,v,"require (v); specify (v)","规定；明确要求"
stolid,adj,"phlegmatic (adj); impassive (adj)","迟钝的；冷漠的"
striate,v,"stripe (v); groove (n)","使有条纹"
substantiate,v,"verify (v); confirm (v)","证实；使具体化"
tacit,adj,"implicit (adj); unspoken (adj)","默认的；不言而喻的"
taciturn,adj,"reticent (adj); laconic (adj)","寡言少语的"
temperate,adj,"moderate (adj); restrained (adj)","温和的；适度的；克制的"
tenacious,adj,"resolute (adj); persistent (adj)","顽强的；执着的"
tenuous,adj,"insubstantial (adj); thin (adj)","稀薄的；站不住脚的"
tirade,n,"diatribe (n); harangue (n)","长篇抨击性演说；激烈的指责"
torpor,n,"lethargy (n); dormancy (n)","迟钝；不活跃；冬眠"
tortuous,adj,"convoluted (adj); winding (adj)","曲折的；冗长复杂的"
tout,v,"trumpet (v); promote (v)","兜售；吹捧"
tractable,adj,"docile (adj); amenable (adj)","温顺的；易管教的"
transgress,v,"contravene (v); violate (v)","违背；越轨"
transient,adj/n,"transitory (adj); ephemeral (adj)","短暂的；转瞬即逝的；过客"
translucent,adj,"diaphanous (adj); semi-transparent (adj)","半透明的"
truculent,adj,"combative (adj); belligerent (adj)","好斗的；尖刻的"
ubiquitous,adj,"pervasive (adj); universal (adj)","无所不在的；普遍存在的"
vacillate,v,"waver (v); hesitate (v)","犹豫；摇摆不定"
venerate,v,"revere (v); respect (v)","崇敬；敬重"
veracious,adj,"truthful (adj); honest (adj)","诚实的；真实的"
verbose,adj,"prolix (adj); wordy (adj)","冗长啰嗦的"
viable,adj,"feasible (adj); workable (adj)","可行的；能存活的"
volatile,adj,"mercurial (adj); unstable (adj)","多变的；挥发性的；不稳定的"
wary,adj,"vigilant (adj); cautious (adj)","谨慎的；警惕的"
zealot,n,"fanatic (n)","狂热分子"
zeal,n,"fervor (n); enthusiasm (n)","热情；热忱"
