Front,Back
embroider,"词性：v<br>近义词：embellish (v); exaggerate (v)<br>中文：刺绣；渲染"
emulate,"词性：v<br>近义词：imitate (v); rival (v)<br>中文：效仿；同…竞争"
endemic,"词性：adj<br>近义词：native (adj); local (adj)<br>中文：地方性的"
enervate,"词性：v<br>近义词：debilitate (v); sap (v)<br>中文：使衰弱"
engender,"词性：v<br>近义词：generate (v); produce (v)<br>中文：引发；产生"
ephemeral,"词性：adj<br>近义词：transient (adj); transitory (adj)<br>中文：短暂的；转瞬即逝的"
equivocate,"词性：v<br>近义词：prevaricate (v)<br>中文：含糊其辞"
esoteric,"词性：adj<br>近义词：abstruse (adj); recondite (adj)<br>中文：深奥的；秘传的"
exacerbate,"词性：v<br>近义词：aggravate (v); worsen (v)<br>中文：恶化；加剧"
exculpate,"词性：v<br>近义词：exonerate (v); absolve (v)<br>中文：开脱；使无罪"
exonerate,"词性：v<br>近义词：absolve (v); exculpate (v)<br>中文：使无罪；免除责任"
facetious,"词性：adj<br>近义词：jocular (adj); playful (adj)<br>中文：开玩笑的；滑稽的"
fallacy,"词性：n<br>近义词：sophism (n); misconception (n)<br>中文：谬误；谬论"
fatuous,"词性：adj<br>近义词：inane (adj); foolish (adj)<br>中文：愚蠢的；愚昧的"
fawn,"词性：v<br>近义词：flatter (v); adulate (v); toady (n)<br>中文：奉承；小鹿"
fervid,"词性：adj<br>近义词：ardent (adj); perfervid (adj)<br>中文：热烈的；热情的"
florid,"词性：adj<br>近义词：baroque (adj); flamboyant (adj)<br>中文：华丽的；红润的"
foment,"词性：v<br>近义词：instigate (v); provoke (v)<br>中文：煽动；挑起"
frugal,"词性：adj<br>近义词：provident (adj); economical (adj)<br>中文：节俭的；节约的"
gainsay,"词性：v<br>近义词：deny (v); contradict (v)<br>中文：否认；反驳"
garrulous,"词性：adj<br>近义词：loquacious (adj); verbose (adj)<br>中文：话多的；饶舌的"
gregarious,"词性：adj<br>近义词：sociable (adj); outgoing (adj)<br>中文：群居的；爱交际的"
guile,"词性：n<br>近义词：cunning (adj/n); chicanery (n)<br>中文：狡诈；诡计"
harangue,"词性：n/v<br>近义词：tirade (n); rant (n/v)<br>中文：长篇演说；训斥"
iconoclast,"词性：n<br>近义词：heretical (adj)<br>中文：偶像破坏者；反传统者"
imperturbable,"词性：adj<br>近义词：unflappable (adj); calm (adj)<br>中文：冷静的；沉着的"
impervious,"词性：adj<br>近义词：unaffected (adj); immune (adj)<br>中文：不透的；不受影响的"
implacable,"词性：adj<br>近义词：inexorable (adj); unyielding (adj)<br>中文：不宽容的；无情的"
imadvertent,"词性：adj<br>近义词：unintentional (adj); accidental (adj)<br>中文：无意的；不小心的"
inchoate,"词性：adj<br>近义词：nascent (adj); incipient (adj)<br>中文：初期的；未形成的"
inconsequential,"词性：adj<br>近义词：trivial (adj); immaterial (adj)<br>中文：不重要的；无关紧要的"
indolent,"词性：adj<br>近义词：slothful (adj); lazy (adj)<br>中文：懒惰的；怠惰的"
ineffable,"词性：adj<br>近义词：inexpressible (adj); indescribable (adj)<br>中文：不可言喻的；难以形容的"
inimical,"词性：adj<br>近义词：hostile (adj); adverse (adj)<br>中文：敌对的；有害的"
innocuous,"词性：adj<br>近义词：harmless (adj); inoffensive (adj)<br>中文：无害的；无毒的"
insipid,"词性：adj<br>近义词：bland (adj); vapid (adj)<br>中文：乏味的；平淡的"
insular,"词性：adj<br>近义词：provincial (adj); narrow-minded (adj)<br>中文：孤立的；狭隘的"
intransigent,"词性：adj<br>近义词：obdurate (adj); uncompromising (adj)<br>中文：不妥协的；顽固的"
inundate,"词性：v<br>近义词：flood (v); deluge (v)<br>中文：淹没；使充满"
irascible,"词性：adj<br>近义词：choleric (adj); testy (adj)<br>中文：易怒的；暴躁的"
laconic,"词性：adj<br>近义词：terse (adj); succinct (adj)<br>中文：简洁的；言简意赅的"
lassitude,"词性：n<br>近义词：languor (n); torpor (n)<br>中文：疲乏；倦怠"
lethargic,"词性：adj<br>近义词：sluggish (adj); torpid (adj)<br>中文：昏昏欲睡的；无精打采的"
loquacious,"词性：adj<br>近义词：garrulous (adj); voluble (adj)<br>中文：健谈的；话多的"
lucid,"词性：adj<br>近义词：pellucid (adj); limpid (adj)<br>中文：清楚易懂的；神志清醒的"
malleable,"词性：adj<br>近义词：pliant (adj); limber (adj)<br>中文：可塑的；易受影响的"
mendacious,"词性：adj<br>近义词：fraudulent (adj); deceitful (adj)<br>中文：撒谎的；虚假的"
misanthrope,"词性：n<br>近义词：cynic (n); recluse (n)<br>中文：厌世者；愤世嫉俗者"
mollify,"词性：v<br>近义词：placate (v); soothe (v)<br>中文：缓和；安抚"
morose,"词性：adj<br>近义词：sullen (adj); gloomy (adj)<br>中文：忧郁的；阴沉的"
neophyte,"词性：n<br>近义词：novice (n); tyro (n); rookie (n)<br>中文：新手；新入教者"
obdurate,"词性：adj<br>近义词：intransigent (adj); obstinate (adj)<br>中文：顽固不化的；冷酷的"
obsequious,"词性：adj<br>近义词：sycophant (n); servile (adj)<br>中文：谄媚的；奉承的"
obviate,"词性：v<br>近义词：preclude (v); forestall (v)<br>中文：排除；使不必要"
onerous,"词性：adj<br>近义词：taxing (adj); arduous (adj)<br>中文：繁重的；艰巨的"
opaque,"词性：adj<br>近义词：murky (adj); obscure (adj)<br>中文：不透明的；难懂的"
opprobrious,"词性：adj<br>近义词：scurrilous (adj); abusive (adj)<br>中文：辱骂的；可耻的"
ostentatious,"词性：adj<br>近义词：flamboyant (adj); theatrical (adj)<br>中文：炫耀的；铺张的"
paragon,"词性：n<br>近义词：paradigm (n); exemplar (n)<br>中文：典范；完人"
partisan,"词性：adj/n<br>近义词：biased (adj); sectarian (adj)<br>中文：偏袒的；党派的追随者"
paucity,"词性：n<br>近义词：deficiency (n); lack (n)<br>中文：缺乏；不足"
perfidy,"词性：n<br>近义词：treachery (n); betrayal (n)<br>中文：背信弃义；背叛"
perfunctory,"词性：adj<br>近义词：cursory (adj); slipshod (adj)<br>中文：敷衍的；草率的"
peripheral,"词性：adj<br>近义词：marginal (adj); secondary (adj)<br>中文：边缘的；次要的"
pernicious,"词性：adj<br>近义词：deleterious (adj); noxious (adj)<br>中文：有害的；恶性的"
perspicacious,"词性：adj<br>近义词：astute (adj); shrewd (adj)<br>中文：有洞察力的；敏锐的"
peruse,"词性：v<br>近义词：scrutinize (v); read carefully (v)<br>中文：细读；精读"
pervade,"词性：v<br>近义词：suffuse (v)<br>中文：弥漫；遍及"
phlegmatic,"词性：adj<br>近义词：stolid (adj); impassive (adj)<br>中文：冷淡的；迟钝的"
pliant,"词性：adj<br>近义词：supple (adj); flexible (adj)<br>中文：柔顺的；易受影响的"
plethora,"词性：n<br>近义词：superfluity (n); excess (n)<br>中文：过多；过剩"
precarious,"词性：adj<br>近义词：insecure (adj); unstable (adj)<br>中文：不稳的；危险的"
precipitate,"词性：adj/v<br>近义词：rash (adj); hasten (v)<br>中文：使突然发生；仓促的；沉淀物"
precursor,"词性：n<br>近义词：harbinger (n); forerunner (n)<br>中文：先驱；前体"
presumptuous,"词性：adj<br>近义词：overbearing (adj); audacious (adj)<br>中文：放肆的；冒昧的"
prevaricate,"词性：v<br>近义词：equivocate (v); quibble (v)<br>中文：搪塞；闪烁其词"
probity,"词性：n<br>近义词：integrity (n); honesty (n)<br>中文：正直；廉洁"
prodigal,"词性：adj/n<br>近义词：lavish (adj); spendthrift (n)<br>中文：挥霍的；浪费的；浪子"
proliferate,"词性：v<br>近义词：multiply (v); mushroom (v)<br>中文：激增；迅速扩散"
propitiate,"词性：v<br>近义词：placate (v); mollify (v)<br>中文：安抚；取悦"
propriety,"词性：n<br>近义词：decorum (n); etiquette (n)<br>中文：得体；礼节；适当"
prudent,"词性：adj<br>近义词：judicious (adj); cautious (adj)<br>中文：谨慎的；精明的"
punctilious,"词性：adj<br>近义词：fastidious (adj); meticulous (adj)<br>中文：一丝不苟的；谨小慎微的"
quiescent,"词性：adj<br>近义词：dormant (adj); inactive (adj)<br>中文：静止的；休眠的"
rarefy,"词性：v<br>近义词：attenuate (v); refine (v)<br>中文：使稀薄；精炼"
recalcitrant,"词性：adj<br>近义词：obstreperous (adj); defiant (adj)<br>中文：桀骜不驯的；顽抗的"
reconcile,"词性：v<br>近义词：harmonize (v); conciliate (v)<br>中文：使和解；调和"
refute,"词性：v<br>近义词：rebut (v); confute (v)<br>中文：反驳；驳倒"
reprobate,"词性：n/adj<br>近义词：rapscallion (n); degenerate (adj)<br>中文：堕落之徒；堕落的"
repudiate,"词性：v<br>近义词：renounce (v); disavow (v)<br>中文：否认；拒绝接受"
rescind,"词性：v<br>近义词：revoke (v); repeal (v)<br>中文：撤销；废除"
reticent,"词性：adj<br>近义词：taciturn (adj); reserved (adj)<br>中文：沉默寡言的；守口如瓶的"
revere,"词性：v<br>近义词：venerate (v); respect (v)<br>中文：尊崇；敬畏"
salubrious,"词性：adj<br>近义词：healthy (adj); wholesome (adj)<br>中文：有益健康的"
sanction,"词性：n/v<br>近义词：approve (v); authorize (v)<br>中文：制裁；批准；许可"
satiate,"词性：v<br>近义词：sate (v)<br>中文：使饱足；充分满足"
saturate,"词性：v<br>近义词：soak (v); drench (v)<br>中文：使饱和；浸透"
sedentary,"词性：adj<br>近义词：inactive (adj); seated (adj)<br>中文：久坐的；定居的"
skeptic,"词性：n<br>近义词：doubter (n); cynic (n)<br>中文：怀疑论者；怀疑者"
solicitous,"词性：adj<br>近义词：concerned (adj); attentive (adj)<br>中文：关切的；挂念的"
soporific,"词性：adj/n<br>近义词：sedative (n/adj); sleep-inducing (adj)<br>中文：催眠的；令人昏昏欲睡的"
specious,"词性：adj<br>近义词：spurious (adj); plausible-but-false (adj)<br>中文：似是而非的；华而不实的"
sporadic,"词性：adj<br>近义词：occasional (adj); intermittent (adj)<br>中文：零星的；偶发的"
spurious,"词性：adj<br>近义词：specious (adj); bogus (adj)<br>中文：伪造的；站不住脚的"
stigma,"词性：n<br>近义词：taint (n); disgrace (n)<br>中文：污名；耻辱；柱头（植）"
stint,"词性：v/n<br>近义词：skimp (v); restrict (v)<br>中文：节省；定额；一段任职期"
stipulate,"词性：v<br>近义词：require (v); specify (v)<br>中文：规定；明确要求"
stolid,"词性：adj<br>近义词：phlegmatic (adj); impassive (adj)<br>中文：迟钝的；冷漠的"
striate,"词性：v<br>近义词：stripe (v); groove (n)<br>中文：使有条纹"
substantiate,"词性：v<br>近义词：verify (v); confirm (v)<br>中文：证实；使具体化"
tacit,"词性：adj<br>近义词：implicit (adj); unspoken (adj)<br>中文：默认的；不言而喻的"
taciturn,"词性：adj<br>近义词：reticent (adj); laconic (adj)<br>中文：寡言少语的"
temperate,"词性：adj<br>近义词：moderate (adj); restrained (adj)<br>中文：温和的；适度的；克制的"
tenacious,"词性：adj<br>近义词：resolute (adj); persistent (adj)<br>中文：顽强的；执着的"
tenuous,"词性：adj<br>近义词：insubstantial (adj); thin (adj)<br>中文：稀薄的；站不住脚的"
tirade,"词性：n<br>近义词：diatribe (n); harangue (n)<br>中文：长篇抨击性演说；激烈的指责"
torpor,"词性：n<br>近义词：lethargy (n); dormancy (n)<br>中文：迟钝；不活跃；冬眠"
tortuous,"词性：adj<br>近义词：convoluted (adj); winding (adj)<br>中文：曲折的；冗长复杂的"
tout,"词性：v<br>近义词：trumpet (v); promote (v)<br>中文：兜售；吹捧"
tractable,"词性：adj<br>近义词：docile (adj); amenable (adj)<br>中文：温顺的；易管教的"
transgress,"词性：v<br>近义词：contravene (v); violate (v)<br>中文：违背；越轨"
transient,"词性：adj/n<br>近义词：transitory (adj); ephemeral (adj)<br>中文：短暂的；转瞬即逝的；过客"
translucent,"词性：adj<br>近义词：diaphanous (adj); semi-transparent (adj)<br>中文：半透明的"
truculent,"词性：adj<br>近义词：combative (adj); belligerent (adj)<br>中文：好斗的；尖刻的"
ubiquitous,"词性：adj<br>近义词：pervasive (adj); universal (adj)<br>中文：无所不在的；普遍存在的"
vacillate,"词性：v<br>近义词：waver (v); hesitate (v)<br>中文：犹豫；摇摆不定"
venerate,"词性：v<br>近义词：revere (v); respect (v)<br>中文：崇敬；敬重"
veracious,"词性：adj<br>近义词：truthful (adj); honest (adj)<br>中文：诚实的；真实的"
verbose,"词性：adj<br>近义词：prolix (adj); wordy (adj)<br>中文：冗长啰嗦的"
viable,"词性：adj<br>近义词：feasible (adj); workable (adj)<br>中文：可行的；能存活的"
volatile,"词性：adj<br>近义词：mercurial (adj); unstable (adj)<br>中文：多变的；挥发性的；不稳定的"
wary,"词性：adj<br>近义词：vigilant (adj); cautious (adj)<br>中文：谨慎的；警惕的"
zealot,"词性：n<br>近义词：fanatic (n)<br>中文：狂热分子"
zeal,"词性：n<br>近义词：fervor (n); enthusiasm (n)<br>中文：热情；热忱"
