prodigal,挥霍的；浪费的；浪子,adj/n
proliferate,激增；迅速扩散,v
propitiate,安抚；取悦,v
propriety,得体；礼节；适当,n
prudent,谨慎的；精明的,adj
punctilious,一丝不苟的；谨小慎微的,adj
quiescent,静止的；休眠的,adj
rarefy,使稀薄；精炼,v
recalcitrant,桀骜不驯的；顽抗的,adj
reconcile,使和解；调和,v
refute,反驳；驳倒,v
reprobate,堕落之徒；堕落的,n/adj
repudiate,否认；拒绝接受,v
rescind,撤销；废除,v
reticent,沉默寡言的；守口如瓶的,adj
revere,尊崇；敬畏,v
salubrious,有益健康的,adj
sanction,制裁；批准；许可,n/v
satiate,使饱足；充分满足,v
saturate,使饱和；浸透,v
sedentary,久坐的；定居的,adj
skeptic,怀疑论者；怀疑者,n
solicitous,关切的；挂念的,adj
soporific,催眠的；令人昏昏欲睡的,adj/n
specious,似是而非的；华而不实的,adj
sporadic,零星的；偶发的,adj
spurious,伪造的；站不住脚的,adj
stigma,污名；耻辱；柱头（植）,n
stint,节省；定额；一段任职期,v/n
stipulate,规定；明确要求,v
stolid,迟钝的；冷漠的,adj
striate,使有条纹,v
substantiate,证实；使具体化,v
tacit,默认的；不言而喻的,adj
taciturn,寡言少语的,adj
temperate,温和的；适度的；克制的,adj
tenacious,顽强的；执着的,adj
tenuous,稀薄的；站不住脚的,adj
tirade,长篇抨击性演说；激烈的指责,n
torpor,迟钝；不活跃；冬眠,n
tortuous,曲折的；冗长复杂的,adj
tout,兜售；吹捧,v
tractable,温顺的；易管教的,adj
transgress,违背；越轨,v
transient,短暂的；转瞬即逝的；过客,adj/n
translucent,半透明的,adj
truculent,好斗的；尖刻的,adj
ubiquitous,无所不在的；普遍存在的,adj
vacillate,犹豫；摇摆不定,v
venerate,崇敬；敬重,v
veracious,诚实的；真实的,adj
verbose,冗长啰嗦的,adj
viable,可行的；能存活的,adj
volatile,多变的；挥发性的；不稳定的,adj
wary,谨慎的；警惕的,adj
zealot,狂热分子,n
zeal,热情；热忱,n
