accost,搭讪；上前与人攀谈
hearten,鼓励；使振作
flout,藐视；嘲笑
blatant,显眼的；公然的
garish,俗丽的；花哨的
drawl,慢吞吞地说话
embargo,禁运
badinage,打趣；玩笑
flinch,畏缩；退缩
forestall,预先阻止；抢先
flagging,衰弱的；萎靡的
heinous,可憎的；邪恶的
impetuous,冲动的；鲁莽的
glutinous,粘性的；胶状的
hone,磨刀；磨练
apoplectic,极度愤怒的
groove,凹槽；习惯
gibe,嘲笑；奚落
hidebound,守旧的；顽固的
comity,礼让；友好
fidelity,忠诚；忠实
inveigh,猛烈抨击；痛骂
inveigle,诱骗；哄骗
engross,全神贯注；独占
commend,称赞；推荐
blurt,脱口而出
carnal,肉体的；感官的
inclement,恶劣的；严酷的
aspirant,有抱负者；志士
exodus,大批离去；出埃及
demotic,通俗的；民众的
fawn,奉承；小鹿
iridescence,彩虹色；彩虹光泽
conscientious,认真的；尽责的
conspicuous,显眼的；显著的
irk,使烦恼；使厌烦
alibi,不在场证明；托辞
canvass,详谈；游说；拉选票
acrid,辛辣的；刻薄的
infamy,臭名昭著；恶名
ichthyologist,鱼类学家
deleterious,有害的
embroider,刺绣；渲染
dissonance,不和谐音
glade,林间空地
invective,辱骂；谩骂
abysmal,极坏的；极深的
allude,暗指；影射
confound,使困惑；使混淆
insular,孤立的；狭隘的
chicanery,诡计；欺骗
havoc,大破坏；浩劫
backhanded,间接的；含沙射影的
agonize,感到极度痛苦；苦苦思索
default,违约；默认
impend,即将发生；迫近
bumptious,自以为是的；傲慢的
baseboard,踢脚板；墙脚板
grieve,悲伤；哀悼
eleemosynary,慈善的
alliterate,押头韵
caricature,漫画式夸张；讽刺画
caret,脱字符；插入符
banal,陈腐的；平庸的
apparel,服装；给…穿衣
droll,古怪有趣的
demur,反对；犹豫
blazon,公开宣布；装饰
hallmark,标志；特征
intermittent,间歇的；断断续续的
deference,尊重；顺从
implacable,不宽容的；无情的
demagogue,蛊惑民心的政客
disdain,轻视；鄙视
deprecate,反对；贬低
divulge,泄露
duplicity,口是心非；奸诈
frieze,饰带；横饰带
hike,徒步旅行；提高
budge,让步；改变立场；挪动
cloying,甜得发腻的；令人腻烦的
enervate,使衰弱
inimitable,无法模仿的；独特的
fulminate,猛烈抨击；爆炸
eulogize,赞美；颂扬
crest,顶峰；鸟冠；徽章
drivel,胡言乱语；唠叨
inkling,暗示；线索
alchemy,炼金术；神秘变化
intemperate,过度的；放纵的
buffoon,小丑；滑稽可笑的人
endemic,地方性的
clasp,扣子；紧握；扣住
gobble,狼吞虎咽；咯咯叫
hackneyed,陈腐的；老套的
aspersion,诽谤；中伤
epaulet,肩章；肩饰
dissolute,放荡的
addendum,补遗；附录
hearken,倾听；注意
bravado,虚张声势
feral,野生的；凶猛的
fringe,边缘；流苏
congruent,一致的；全等的
gladiator,角斗士；斗士
curt,唐突的；简短无礼的
blemish,污点；瑕疵
diatribe,长篇抨击
bravura,精湛大胆的表演
dissuade,劝阻
advert,注意；提及
contiguous,接壤的；相邻的
crux,关键；症结
dolt,笨蛋
bristle,怒发冲冠；充满
fester,化脓；恶化
execrate,憎恶；咒骂
gaudy,俗丽的；花哨的
dabble,涉猎；玩水
dais,讲台；主席台
inquisitive,好奇的；好问的
immemorial,远古的；无法追忆的
abate,减轻，缓和
cavern,大洞穴
immaterial,不重要的；非物质的
imposing,给人深刻印象的；庄严的
incarnate,化身；体现
excoriate,严厉指责；擦破皮
apposite,适当的；贴切的
daunt,使气馁；威吓
guarantee,保证；担保
cameo,小配角；浮雕刻像
expurgate,删除（不当内容）
alienate,疏远；转让（财产）
abstain,戒除；弃权
emancipate,解放
extort,敲诈；勒索
complacency,自满；沾沾自喜
incogitant,考虑不周的；轻率的
farce,闹剧；滑稽戏
asunder,分离的；化为碎片的
haven,避风港；安全的地方
evanescent,转瞬即逝的
falter,蹒跚；犹豫
discombobulate,使困惑；打乱
iniquity,邪恶；不公正
amicable,友好的；和平的
crestfallen,垂头丧气的
baroque,过分雕琢的；复杂的
ductile,延展性好的；可塑的
hie,匆忙；赶快
drudgery,苦役；繁重工作
fatuous,愚蠢的；愚昧的
impresario,演出经理；演出主办者
anthology,选集
facile,容易的；肤浅的
berate,严厉指责；痛斥
aseptic,无菌的；防腐的
emulate,效仿；同…竞争
clandestine,秘密的；暗中的
dwindle,逐渐减少
dart,疾驰；飞镖
extemporize,即兴创作
innocuous,无害的；无毒的
florid,华丽的；红润的
fasehood,虚假；谎言
hardy,强壮的；耐寒的
console,安慰；控制台
debunk,揭穿；拆穿
accede,同意；就任
amity,友好；和睦
conversant,熟悉的；精通的
impudent,无礼的；厚颜无耻的
incubator,孵化器；温床
exuberant,茂盛的；热情洋溢的
ascendant,有影响力的；上升的
abstruse,深奥的；难解的
implety,不虔诚；不敬
intrepid,勇敢的；无畏的
flippancy,轻率；无礼
circumvent,规避；绕过
affidavit,宣誓书
extant,现存的
blunt,迟钝的；直率的；使迟钝
dissemble,掩饰；假装
harness,马具；利用
epigram,警句；隽语
carve,雕刻；切割；争取赢得
epicure,美食家
cede,割让；放弃
downplay,轻描淡写；不予重视
garble,混淆；曲解
fledge,长羽毛；羽翼丰满
douse,浇灭；浸泡
disparate,截然不同的
foment,煽动；挑起
animus,敌意；憎恨
insentient,无感觉的；无意识的
beleaguer,围攻；困扰
imperative,必要的；命令的
hermit,隐士；隐居者
disseminate,传播；散布
diocesan,教区的
ballad,民谣；歌谣
indelible,不可磨灭的；持久的
deride,嘲笑；嘲弄
ingratiating,讨好的；奉承的
earshot,听力范围
fateful,决定性的；重大的
fussy,挑剔的；过分讲究的
bombast,夸大的言辞
histrionic,戏剧性的；做作的
devout,虔诚的
barren,贫瘠的；不结果实的
girder,大梁；钢梁
euphoria,狂喜；极度兴奋
exorbitant,价格过高的；过分的
irascible,易怒的；暴躁的
drizzle,毛毛雨
heirloom,传家宝；传家之物
breach,违背；破裂；突破口
castigate,严厉斥责
hem,边缘；缝边
bland,乏味的；温和的
cloture,终止辩论表决程序
anathema,极讨厌的人/事；诅咒
decrepit,衰老的；破旧的
apostrophe,撇号；呼语
epistemology,认识论
amble,漫步；缓行
fiasco,惨败；大失败
indulgent,纵容的；溺爱的
gloat,幸灾乐祸；得意洋洋
abrade,磨损；擦伤
detritus,碎屑；残骸
disjointed,脱节的；支离破碎的
erode,侵蚀；腐蚀
orthodox,正统的；传统的
hyperbole,夸张；夸大
extraneous,无关的；外来的
flax,亚麻；亚麻纤维
hew,砍；劈
admonish,警告；劝诫
abject,悲惨的；卑微的；绝望的
discommode,给…添麻烦
gist,要点；主旨
fracture,骨折；破裂
aggravate,加重；激怒
full-bodied,醇厚的；丰满的
deter,威慑；阻止
hypnotic,催眠的；催眠术的
coltish,爱嬉闹的；不受拘束的
incipient,初期的；开始的
concede,承认；让步
boisterous,喧闹的；活跃的
galvanize,刺激；电镀
covert,隐秘的；隐蔽的
disabuse,使醒悟；纠正错误观念
fervid,热烈的；热情的
denude,剥夺；使裸露
exasperate,激怒；惹恼
ballast,压舱物；稳定力量
enamel,珐琅；指甲油
infuse,注入；灌输
compliant,顺从的
cordon,警戒线；封锁线
cronyism,任人唯亲
desultory,漫无目的的；散漫的
chorus,合唱；随声附和
disinfect,消毒
debilitate,使衰弱
brook,容忍；小溪
dirge,挽歌
discursive,离题的；东拉西扯的
exalt,提升；赞扬
exculpate,开脱；使无罪
hideous,可怕的；丑陋的
friable,易碎的；脆的
grandiloquent,夸张的；浮夸的
entice,诱惑；引诱
barter,以物易物；交换
crescendo,渐强
inception,开始；开端
chase,追逐；在金属上雕刻
exacerbate,恶化；加剧
engender,引发；产生
inchoate,初期的；未形成的
founder,创始人；沉没
contumacious,倔强不服的；抗命的
hub,中心；枢纽
estrange,使疏远
collude,串通；勾结
amenity,舒适；便利设施；礼节
errant,出格的；偏离正道的
entreat,恳求；乞求
convoluted,复杂的；盘绕的
glaze,釉；上釉
inundate,淹没；使充满
dyslexia,读写障碍
giddy,头晕的；轻浮的
filigree,金银丝细工；精细装饰
forbearance,忍耐；宽容
dour,严厉的；阴沉的
grandlose,宏伟的；壮丽的
inconsequential,不重要的；无关紧要的
elate,使兴高采烈
brittle,脆弱的；易碎的
dew,露水
deadpan,面无表情的
imperturbable,冷静的；沉着的
facetious,开玩笑的；滑稽的
gratify,使满足；使高兴
feeble,虚弱的；无力的
cogent,有说服力的；令人信服的
affable,和蔼可亲的；友善的
expiate,赎罪；补偿
apprehension,忧虑；理解；逮捕
diligent,勤奋的
desecrate,亵渎
glossy,有光泽的；光滑的
barefaced,公然的；厚颜无耻的
boggle,犹豫；退缩；困惑
countenance,支持；赞同；面容
ingenuity,独创性；聪明才智
adventitious,偶然的；外来的
foliage,叶子；树叶
corroborate,证实；确证
excerpt,摘录；选段
imadvertent,无意的；不小心的
abut,邻接；毗连
ancillary,辅助的；补充的
dispatch,派遣；迅速
frenzy,狂乱；疯狂
crumple,弄皱；崩溃
gullible,易受骗的；轻信的
elicit,引出；诱出
apron,围裙；台口（戏剧）
elevate,提升；举起
dullard,笨蛋；愚人
disinter,发掘（尸体/遗物）
distort,扭曲
broach,提出（敏感话题）
dogma,教条；教义
compose,使镇定；组成；创作
diehard,顽固的守旧者
interlock,连锁；互锁
distal,远端的
atone,赎罪；弥补
abridge,缩短；删节
cherubic,天使般的；胖乎乎的
incursion,入侵；袭击
half-backed,不成熟的；考虑不周的
depravity,堕落；邪恶
efface,抹去；使不显著
invidious,令人反感的；有害的
culpable,有罪的；该责备的
earsplitting,震耳欲聋的
espouse,支持；拥护
elegy,挽歌
fidget,坐立不安；烦躁
abstemious,有节制的（饮食）
gourmet,美食家；美食鉴赏家
ignominy,耻辱；不名誉
assiduous,勤奋的；刻苦的
grandstand,看台；哗众取宠
defuse,化解（危机/怒气）
coven,女巫集会
balky,倔强的；不合作的
cow,威吓；恐吓
doodle,涂鸦；潦草画
distain,轻视（拼写对比 disdain）
evoke,唤起
apprise,通知；告知
horticulture,园艺；园艺学
garrulous,话多的；饶舌的
deprivation,匮乏；剥夺
enigma,谜；难以理解的事
cadge,乞讨；白拿
enfranchise,给予选举权
dilettante,业余爱好者（含贬）
acerbic,尖刻的；酸涩的
creek,小溪
dank,阴冷潮湿的
frivolous,轻浮的；无聊的
guzzle,狂饮；大口喝
amalgamate,合并；混合
germane,相关的；贴切的
industriousness,勤劳；勤奋
deft,灵巧的；熟练的
abiding,持久的；永久的
cozen,欺骗；哄骗
homely,朴素的；不好看的
dent,凹痕；削弱
grovel,匍匐；卑躬屈膝
anemic,贫血的；无活力的
bale,灾祸；不幸
frigid,寒冷的；冷淡的
dingy,昏暗肮脏的
belabor,喋喋不休；过分强调；痛打
inch,英寸；缓慢移动
amulet,护身符
frail,脆弱的；虚弱的
bluster,咆哮；虚张声势
ellipsis,省略
expedition,远征；迅速
ironclad,铁甲舰；坚不可摧的
cower,畏缩
approbation,赞许；认可
inalienable,不可剥夺的；不可转让的
hale,强壮的；健康的
filling,填充物；馅料
flounder,挣扎；比目鱼
impeccable,完美的；无瑕疵的
extenuate,减轻（罪过）
impotent,无能的；无力的
instate,任命；安置
brash,鲁莽的；唐突的
fanatic,狂热者；盲信者
inane,愚蠢的；空洞的
browbeat,威吓；恫吓
attenuate,使减弱；变薄
analgesic,止痛的；止痛药
desiccate,使干燥；脱水
conviction,信念；定罪
die,模具；骰子；死（口语）
emollient,润肤的；起缓和作用的
embezzle,侵占；挪用
footloose,自由的；无拘束的
grove,小树林；果园
allay,减轻；缓和（情绪/疼痛）
dexterous,灵巧的
didactic,说教的；教诲的
haunt,常去；萦绕
allure,吸引；诱惑
delirium,精神错乱；极度兴奋
aver,断言；坚称
harbinger,先驱；预兆
exhort,劝告；敦促
apostasy,背教；变节
finesse,技巧；手腕
infelicitous,不恰当的；不幸的
bridle,抑制；缰绳；约束
hedonism,享乐主义
hoodwink,欺骗；蒙蔽
intercessor,调解者；代祷者
canard,谣言；假新闻
antic,滑稽可笑的；古怪的
cleft,裂缝；劈开的
diurnal,昼行的；每日的
discretionary,自行决定的；酌情的
alacrity,敏捷；欣然同意
ingenious,聪明的；有创造力的
caustic,腐蚀性的；刻薄的
cavort,欢跃；雀跃
inexorable,无情的；不可阻挡的
clement,仁慈的；（气候）温和的
detain,拘留；耽搁
erudite,博学的
gerrymander,不公正地划分选区
dissect,解剖；剖析
hegemony,霸权；支配地位
evince,表明；显示
extraction,提取；血统
glib,油嘴滑舌的；流利的
harangue,长篇演说；训斥
easel,画架
abjure,发誓放弃；公开否认
impervious,不透的；不受影响的
inter,埋葬；安葬
carouse,痛饮作乐
gaffe,失态；失言
exude,渗出；散发
adulterate,掺假；掺入劣质成分
flit,轻快地飞；掠过
commencement,开始；毕业典礼
apocryphal,伪造的；可疑的
discrepancy,差异；不一致
disconcert,使不安；使困惑
hubris,傲慢；自大
dilapidate,使荒废
emaciate,使消瘦
faction,派系；小集团
denouement,结局；收场
commensurate,相称的；相当的
dapper,衣冠楚楚的；利落的
immaculate,完美的；纯洁的
herpetologist,爬虫学家
delve,挖掘；深入研究
fetter,束缚；脚镣
boon,恩惠；福利；好处
brisk,轻快的；兴旺的；清新
illusory,虚幻的；错觉的
convoke,召集
dubious,可疑的；拿不准的
hoax,恶作剧；骗局
insouciant,无忧无虑的；漫不经心的
disjunctive,分离的；选择性的
emboss,浮雕；加凸纹
blast,一阵风；爆炸；抨击
hortative,劝告的；劝勉的
bruit,传播（消息）
esoteric,深奥的；秘传的
bracing,令人振奋的；凉爽的
crease,折痕；起皱
gargantuan,巨大的；庞大的
fast,快的；禁食
gregarious,群居的；爱交际的
allegiance,忠诚；拥护
effervesce,起泡；兴奋
brazen,厚颜无耻的；公然的
fetid,恶臭的
hasten,加速；催促
gully,沟壑；溪谷
divestiture,剥离；资产出售
aggravate,加重；激怒
homage,敬意；效忠
husbandry,农业；畜牧业
bellwether,领导者；风向标
abrogate,废除；取消
incite,煽动；激起
deplore,谴责；悲悼
badger,不断纠缠；烦扰
grisly,可怕的；恐怖的
blase,厌倦享乐的；玩厌了的
croon,低吟
hymn,赞美诗；圣歌
blight,枯萎；破坏因素
epitaph,墓志铭
awe,敬畏；惊惧
frond,蕨叶；棕榈叶
disgruntle,使不满
dissension,纠纷；分歧
gourmand,美食家；贪吃的人
condign,（惩罚）适当的；应得的
chiaroscuro,明暗对比法
inferno,地狱；大火
disavow,否认；否定
garment,衣服；服装
illuminati,启蒙者；智者
constitute,构成；组成
conciliate,安抚；调解
gall,胆汁；怨恨
furor,狂怒；轰动
effete,衰弱的；颓废的
dogged,顽强的
interminable,无止境的；冗长的
arduous,艰巨的；费力的
éclat,辉煌成就；喝彩
balm,安慰物；香膏
fretful,烦躁的；焦虑的
eschew,避开；回避
caveat,警告；告诫
deject,使沮丧
dismay,惊恐；使沮丧
impertinent~impertinence,无礼的；不恰当的
galley,厨房；单层甲板船
banister,楼梯扶手
hermetic,密封的；神秘的
adjourn,休会；延期
insipid,乏味的；平淡的
hauteur,傲慢；高傲
fumble,摸索；笨拙地处理
incomtrovertible,无可争议的；不容置疑的
chevron,V 字形臂章；人字形
dulcet,悦耳的；甜美的
barb,尖刻的批评；倒钩
annals,编年史；历史记载
apt,恰当的；聪明的；有…倾向的
defy,违抗；藐视
foolproof,万无一失的；简单可靠的
forthright,直率的；坦率的
ditty,小曲；短歌
doff,脱（帽/衣）
cynic,愤世嫉俗者
headlong,头朝前的；鲁莽的
daguerreotype,银版照相法；早期照片
deracinate,根除；使迁离故土
fraudulent,欺诈的；欺骗的
infirm,虚弱的；体弱的
crutch,拐杖；依靠
doldrums,萧条期；低迷；无精打采
airtight,密封的；无懈可击的
fusty,发霉的；陈腐的
etch,蚀刻；铭记
dolorous,悲伤的
cosset,娇惯；溺爱
dupe,受骗者；欺骗
excruciate,使极痛苦
haphazard,随意的；偶然的
debark,下船；卸货
green,绿色的；未成熟的
frothy,起泡的；浅薄的
clarion,嘹亮的；号角声
cord,绳子；电源线
ebullient,热情洋溢的
gash,深伤口；砍伤
accrete,逐渐增长；（天体）聚积
incense,香；激怒
ecumenical,全球基督教会的；普世的
immanent,内在的；固有的
dissent,反对意见；持异议
fleet,舰队；快速的
bolster,支持；增强
abet,教唆，怂恿；帮助
insolent,傲慢的；无礼的
impromptu~improvise,即兴的；即兴创作
argot,行话；黑话
cement,巩固；水泥
fallacy,谬误；谬论
discredit,使丧失信誉；怀疑
eddy,漩涡；涡流
herald,先驱；宣告者
exigent,紧急的；苛求的
clique,小团体；小圈子
acquiesce,默许；顺从
dispassionate,冷静客观的
caprice,反复无常；反复念头
ewe,母羊
gust,阵风；一阵
instill,灌输；注入
frugal,节俭的；节约的
inept,无能的；不称职的
detract,贬低；转移注意
gloomy,阴暗的；忧郁的
encumber,妨碍；阻碍
gangway,通道；舷梯
gum,牙龈；口香糖
idolatrize,偶像崇拜；盲目崇拜
elliptical,椭圆的；含糊的
fender,挡泥板；防护物
derelict,遗弃的；玩忽职守的
hovel,简陋的小屋
encompass,包含；围绕
depose,罢免；宣誓作证
churl,粗鲁之人；吝啬鬼
fraught,充满的；忧虑的
debut,首演；首次登台
banish,驱逐；消除
chide,责备；斥责
avid,渴望的；热切的
effusive,过分热情的；洋溢的
gravel,砾石；使困惑
asperity,严厉；粗暴
indolent,懒惰的；怠惰的
iconoclast,偶像破坏者；反传统者
appellation,名称；称号
abscission,切除；脱落
callow,稚嫩的；幼稚的
edifice,宏伟建筑；体系
cramped,狭小的；受限制的
harp,竖琴；反复说
antagonize,使对抗；激怒
equable,稳定的；温和的
conservatory,温室；音乐学院
fatigue,疲劳；使疲劳
commodious,宽敞舒适的
digit,数字；指头
cunning,狡猾的；精巧的
ad-lib,即兴的；即兴表演
curator,馆长；策展人
heterodox,异端的；非正统的
intangible,无形的；难以捉摸的
incessant,不停的；连续的
hallucination,幻觉；错觉
isthmus,地峡；狭窄地带
deplete,消耗；耗尽
finicky,挑剔的；过分讲究的
chagrin,懊恼；委屈
besmirch,玷污；诽谤
apophatic/apothasis,否定陈述法
hamstring,使残废；削弱
dyspeptic,消化不良的；脾气坏的
homily,说教；布道
goad,刺激；激励
gorge,峡谷；狼吞虎咽
disgorge,吐出；喷出
incandescent,白炽的；明亮的
awning,遮阳篷；雨篷
constringe,压缩；收缩
indict,起诉；控告
irradicable,根深蒂固的；无法根除的
ingrained,根深蒂固的；根深蒂固的
fluvial,河流的；河成的
hard-bitten,坚韧的；顽强的
imprudent,轻率的；不谨慎的
gush,涌出；滔滔不绝地说
indurate,使硬化；使冷酷
gainsay,否认；反驳
augur,预示；预兆
goldbrick,懒汉；逃避工作的人
heretical,异端的；异教的
doze,打盹
clout,影响力；猛击
abscond,潜逃；逃匿
coquette,卖弄风情者；调情者
ascetic,禁欲的；苦行的
herbicide,除草剂
distend,膨胀；扩张
exponent,倡导者；指数
altruism,无私；利他主义
fastidious,挑剔的；讲究的
ingrate,忘恩负义的人
gadget,小器具；小装置
heresy,异端；异端邪说
inimical,敌对的；有害的
flamboyant,华丽的；炫耀的
dappled,斑驳的；花斑的
epilogue,尾声；后记
bane,祸根；灾星
halcyon,平静的；太平的
amiable,和蔼可亲的；友善的
choreography,编舞；舞蹈设计
consummate,圆满的；完成；完美
dispose,处理；丢弃；布置
impecunious,贫穷的；身无分文的
inculpate,控告；归罪
debacle,溃败；惨败
exult,狂喜；欢欣鼓舞
debase,降低（品质/价值）
fable,寓言；虚构的故事
guile,狡诈；诡计
excrete,排泄
deluge,洪水；暴雨；蜂拥而至
intelligible,可理解的；清晰的
grueling,累人的；折磨人的
choleric,易怒的
invigorate,使精力充沛；使活跃
elucidate,阐明；启发
discretion,谨慎；自行决定权
countermand,撤销命令
foll,愚蠢；愚笨
chary,谨慎小心的
dismantle,拆除；废除
fracas,吵闹；打架
epidermis,表皮
bedeck,装饰；点缀
glutton,贪食者；暴食者
epitomize,成为典型；概括
crook,弯曲；骗子
drone,嗡嗡响；单调低吟
erratic,不稳定的；古怪的
burnish,打磨；抛光；改进（名声）
enunciate,清晰地发音；阐明
hive,蜂巢；蜂群
interregnum,空位期；过渡期
husk,外壳；皮
daredevil,胆大妄为的（人）
affinity,密切关系；吸引力
hasty,匆忙的；草率的
harbor,港口；庇护
defile,污染；玷污
gallant,勇敢的；殷勤的
deficiency,缺乏；不足
exonerate,使无罪；免除责任
gambol,跳跃；嬉戏
fluster,使慌乱；使紧张
astute,机敏的；精明的
atrocious,残暴的；极坏的
coalesce,合并；融合
adore,崇拜；喜爱
irate,愤怒的；生气的
grate,磨碎；激怒
disengage,脱离；解开
extricate,解脱；摆脱
inaugurate,开始；就职
ferrous,含铁的
commotion,骚动；喧闹
forbear,忍耐；克制
gait,步态；步伐
instigate,煽动；挑起
egalitarian,平等主义的
frowsy,邋遢的；不整洁的
expedite,加快；促进
adumbrate,预示；概述
encomium,赞颂；颂词
domicile,住所
euphonious,悦耳的
imbroglio,复杂的情况；混乱
flock,群；聚集
adulate,谄媚；奉承
ingest,摄取；吸收
inflame,激怒；使发炎
ardor,热情；激情
inanimate,无生命的；无生气的
interdict,禁止；禁令
importune,纠缠；强求
avulse,撕脱；扯离
credence,可信性；信任
harrow,耙；折磨
epithet,绰号；表述词
fresco,壁画；湿壁画
cursory,粗略的；草率的
blithe,无忧无虑的；漫不经心的
gild,镀金；装饰
absolve,赦免；免除（责任）
convulsion,抽搐；动乱
crass,愚钝的；粗鲁的
impugn,质疑；抨击
incriminate,使有罪；牵连
figurehead,傀儡；名义领袖
flatter,奉承；谄媚
idyll,田园诗；田园生活
abdicate,退位；放弃（权力/责任）
diaphanous,半透明的；轻薄的
effrontery,厚颜无耻
discomfit,挫败；使窘迫
abnegate,否认；放弃（享乐/权利）
draconian,严厉的；苛刻的
dawdle,磨蹭；游荡
gratitous,免费的；无理由的
barricade,障碍物；阻碍
hoary,灰白的；古老的
excursive,离题的；散漫的
fecund,多产的；肥沃的
accolade,荣誉；赞扬
imperious,专横的；傲慢的
deterioration,恶化
court,求爱；追求；法院
dilatory,拖拉的；慢的
ameliorate,改善；改进
inveterate,根深蒂固的；积习难深的
burlesque,讽刺滑稽表演
hangdog,垂头丧气的；羞愧的
apothecary,药剂师
contravene,违反；抵触
insensitive,不敏感的；麻木的
complaisance,殷勤；顺从
intransigent,不妥协的；顽固的
genial,和蔼的；友好的
extol,赞美；颂扬
hoard,贮藏；囤积
hallow,使神圣；崇敬
appall,使惊骇；使恐惧
incantation,咒语；魔法
hodgepodge,大杂烩；混合物
dire,可怕的；极端的
fallow,休耕的；闲置的
euphemism,委婉语
elephantine,笨拙的；巨大的
dissipate,驱散；浪费
inure,使习惯；使适应
geyser,间歇泉；热水器
ford,浅滩；涉水
glut,过剩；充斥
banter,打趣；玩笑
concur,同意；同时发生
blurb,简介；推荐语
faze,使困惑；使为难
exempt,免除；豁免
ambrosial,美味的；芳香的；神仙的
disciple,门徒；追随者
ennui,厌倦；倦怠
dormant,休眠的
diffuse,扩散；冗长
craven,懦弱的
fail-safe,故障安全的
cipher,密码；无足轻重的人
daft,愚蠢的；疯癫的
indigent,贫穷的；贫困的
grotesque,怪诞的；奇形怪状的
furtive,偷偷摸摸的；鬼鬼祟祟的
babble,含糊地说；喋喋不休
grin,咧嘴笑
contort,扭曲
evasive,回避的；含糊其辞的
condole,吊唁；表示同情
ensue,接着发生；继而产生
grotto,洞穴；石窟
demoralize,使士气低落；败坏道德
contentious,有争议的；好争论的
fluke,侥幸；意外成功
